nombre_categoria,nombre_producto,precio,stock
Accesorios , Cinturon , 250 , 19
Accesorios , Aretes de flor , 300 , 5
Juegos , Ajedrez , 150 , 5
Juegos , Monopoly , 400 , 7
Juegos , Monolocos , 50 , 20
Juegos , AdivinaQ , -30 , 15
Electronica , Auriculares , 800 , 25
Electronica , Bocina , 600 , 5
Electronica , Timbre , 200 , 13
Ropa , Vestido fiesta , 1100 , 4
Ropa , Pantalon vestir , 400 , 12
Ropa , Sudadera anime , 450 , 18
Ropa , Abrigo , 1350 , 6
Ropa , Bufanda , 150 , 10
Ropa , Chamarra piel , 200 , 5





